candidate,party,criminal_cases,education,age,total_assets,liabilities,2021_constituency,2021_district,myneta_url,total_assets_rs,liabilities_rs,sitting_MLA,bye_election
K.Kannan,IND,0,Graduate,49,,,VELACHERY,CHENNAI,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=1725,,,0,0
M.Chandrabose,Amma Makkal Munnettra Kazagam,0,Post Graduate,61,"Rs 20,53,139 ~ 20 Lacs+",Rs 0 ~,VELACHERY,CHENNAI,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=751,2053139,0,0,0
M.K.Ashok,AIADMK,0,Graduate,49,"Rs 8,40,59,587 ~ 8 Crore+","Rs 74,52,313 ~ 74 Lacs+",VELACHERY,CHENNAI,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=335,84059587,7452313,0,0
M.Keerthana,Naam Tamilar Katchi,0,Graduate Professional,28,,,VELACHERY,CHENNAI,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=336,,,0,0
M.Vignesh,IND,0,Graduate,29,"Rs 13,74,239 ~ 13 Lacs+",Rs 0 ~,VELACHERY,CHENNAI,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=1724,1374239,0,0,0
Murali Balaji,IND,0,Post Graduate,30,"Rs 11,63,819 ~ 11 Lacs+",Rs 0 ~,VELACHERY,CHENNAI,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=1732,1163819,0,0,0
N.Mahalakshmi,IND,0,Graduate Professional,57,,,VELACHERY,CHENNAI,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=1735,,,0,0
R.Kanchana,Tamizhaga Murpokku Makkal Katchi,0,Post Graduate,45,"Rs 18,65,000 ~ 18 Lacs+","Rs 8,50,000 ~ 8 Lacs+",VELACHERY,CHENNAI,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=1737,1865000,850000,0,0
S.Gokul,IND,0,Graduate,31,"Rs 2,86,479 ~ 2 Lacs+",Rs 0 ~,VELACHERY,CHENNAI,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=1728,286479,0,0,0
S.Jothi Kannan,IND,1,10th Pass,32,,,VELACHERY,CHENNAI,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=1729,,,0,0
V.Hariharan,IND,0,10th Pass,32,"Rs 19,33,000 ~ 19 Lacs+",Rs 0 ~,VELACHERY,CHENNAI,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=1733,1933000,0,0,0
V.L.Revathi Jayakumari,Tamil Nadu Ilangyar Katchi,0,Post Graduate,50,"Rs 2,15,06,420 ~ 2 Crore+",Rs 0 ~,VELACHERY,CHENNAI,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=1721,21506420,0,0,0
V.Sivaraman,IND,0,Graduate,69,,,VELACHERY,CHENNAI,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=334,,,0,0
Saba.Rajendran,DMK,7,Graduate Professional,59,"Rs 6,20,90,178 ~ 6 Crore+","Rs 72,65,337 ~ 72 Lacs+",NEYVELI,CUDDALORE,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=561,62090178,7265337,1,0
Baktharatchagan.R,Amma Makkal Munnettra Kazagam,0,Doctorate,56,"Rs 2,73,82,911 ~ 2 Crore+","Rs 50,89,676 ~ 50 Lacs+",NEYVELI,CUDDALORE,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2370,27382911,5089676,0,0
Boobalan.E,IND,0,12th Pass,42,"Rs 10,67,161 ~ 10 Lacs+",Rs 0 ~,NEYVELI,CUDDALORE,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2374,1067161,0,0,0
Dhanasekaran.S,IND,0,10th Pass,49,,,NEYVELI,CUDDALORE,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2371,,,0,0
Dhiliban.U,IND,0,12th Pass,29,"Rs 3,62,207 ~ 3 Lacs+",Rs 0 ~,NEYVELI,CUDDALORE,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2372,362207,0,0,0
Dhurga.K,IND,0,10th Pass,48,"Rs 80,500 ~ 80 Thou+","Rs 2,30,000 ~ 2 Lacs+",NEYVELI,CUDDALORE,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2373,80500,230000,0,0
Ilangovan.R,Indiya Jananayaka Katchi,0,10th Pass,40,,,NEYVELI,CUDDALORE,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2369,,,0,0
Jagan.K,Pattali Makkal Katchi,1,12th Pass,47,"Rs 8,81,57,000 ~ 8 Crore+","Rs 2,48,20,000 ~ 2 Crore+",NEYVELI,CUDDALORE,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=563,88157000,24820000,0,0
Kanagaraji.C,BSP,0,12th Pass,26,"Rs 7,50,500 ~ 7 Lacs+",Rs 0 ~,NEYVELI,CUDDALORE,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2368,750500,0,0,0
Rajendran .B,IND,0,Graduate,32,,,NEYVELI,CUDDALORE,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2375,,,0,0
Ramesh.K,Naam Tamilar Katchi,0,Others,50,"Rs 1,35,39,779 ~ 1 Crore+","Rs 63,00,000 ~ 63 Lacs+",NEYVELI,CUDDALORE,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=562,13539779,6300000,0,0
Vaduganathan.R,IND,0,Others,51,,,NEYVELI,CUDDALORE,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2376,,,0,0
Velmurugan.T,DMK,17,Graduate,50,"Rs 23,93,638 ~ 23 Lacs+",Rs 0 ~,PANRUTI,CUDDALORE,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=1584,2393638,0,1,0
Arulkumar.R,IND,0,10th Pass,35,"Rs 3,12,800 ~ 3 Lacs+",Rs 0 ~,PANRUTI,CUDDALORE,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=1575,312800,0,0,0
Govindasamy.S,IND,0,10th Pass,45,"Rs 11,54,000 ~ 11 Lacs+","Rs 4,60,000 ~ 4 Lacs+",PANRUTI,CUDDALORE,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=1573,1154000,460000,0,0
Jaylani,Makkal Needhi Maiam,2,10th Pass,48,,,PANRUTI,CUDDALORE,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=1578,,,0,0
Kamadevan.S,IND,1,5th Pass,34,"Rs 3,05,000 ~ 3 Lacs+",Rs 0 ~,PANRUTI,CUDDALORE,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=1579,305000,0,0,0
Kumar.D,IND,0,5th Pass,43,"Rs 1,93,500 ~ 1 Lacs+","Rs 51,500 ~ 51 Thou+",PANRUTI,CUDDALORE,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=1570,193500,51500,0,0
Nagamani.M,IND,0,8th Pass,43,,,PANRUTI,CUDDALORE,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=1577,,,0,0
Prakash.R,IND,0,Graduate Professional,37,"Rs 4,82,000 ~ 4 Lacs+",Rs 0 ~,PANRUTI,CUDDALORE,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=1581,482000,0,0,0
Rajendran.R,AIADMK,0,12th Pass,60,"Rs 14,67,94,603 ~ 14 Crore+","Rs 60,10,000 ~ 60 Lacs+",PANRUTI,CUDDALORE,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=1583,146794603,6010000,0,0
Sivakozhundu.P,DMDK,0,5th Pass,54,,,PANRUTI,CUDDALORE,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=1582,,,0,0
Subhashini.R,Naam Tamilar Katchi,0,Graduate Professional,28,"Rs 4,08,500 ~ 4 Lacs+","Rs 2,58,000 ~ 2 Lacs+",PANRUTI,CUDDALORE,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2377,408500,258000,0,0
Velmurugan.K,IND,0,12th Pass,39,"Rs 42,75,097 ~ 42 Lacs+","Rs 22,18,000 ~ 22 Lacs+",PANRUTI,CUDDALORE,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=1572,4275097,2218000,0,0
Velmurugan.R,IND,0,Graduate Professional,35,,,PANRUTI,CUDDALORE,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=1576,,,0,0
G.Iyappan,DMK,0,Post Graduate,63,,,CUDDALORE,CUDDALORE,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=82,,,1,0
A.Gnanapandithan,DMDK,0,Graduate Professional,45,"Rs 1,49,16,738 ~ 1 Crore+","Rs 30,39,500 ~ 30 Lacs+",CUDDALORE,CUDDALORE,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2378,14916738,3039500,0,0
A.Mohamed Usman,Anna Puratchi Thalaivar Amma Dravida Munnetra Kazhagam,0,10th Pass,54,"Rs 2,55,000 ~ 2 Lacs+",Rs 0 ~,CUDDALORE,CUDDALORE,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=972,255000,0,0,0
G.Krishnan,IND,0,Graduate,70,"Rs 8,00,000 ~ 8 Lacs+","Rs 53,000 ~ 53 Thou+",CUDDALORE,CUDDALORE,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2381,800000,53000,0,0
J.Jacob,IND,0,Graduate Professional,36,"Rs 72,51,000 ~ 72 Lacs+","Rs 10,00,000 ~ 10 Lacs+",CUDDALORE,CUDDALORE,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2384,7251000,1000000,0,0
Jaladeepan.V,Naam Tamilar Katchi,3,Graduate Professional,40,,,CUDDALORE,CUDDALORE,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=970,,,0,0
K.Anandraj,Makkal Needhi Maiam,0,10th Pass,38,"Rs 8,35,700 ~ 8 Lacs+","Rs 3,30,000 ~ 3 Lacs+",CUDDALORE,CUDDALORE,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2379,835700,330000,0,0
K.Thangarasu,IND,1,10th Pass,64,"Rs 1,10,91,000 ~ 1 Crore+",Rs 0 ~,CUDDALORE,CUDDALORE,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=973,11091000,0,0,0
M.C.Sampath,AIADMK,0,Graduate,62,,,CUDDALORE,CUDDALORE,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=9,,,0,0
R.Vallal Kumar,BSP,0,Post Graduate,37,"Rs 5,45,500 ~ 5 Lacs+",Rs 0 ~,CUDDALORE,CUDDALORE,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=975,545500,0,0,0
S.Deenadhayalan,IND,0,Post Graduate,28,"Rs 1,35,500 ~ 1 Lacs+","Rs 50,000 ~ 50 Thou+",CUDDALORE,CUDDALORE,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=976,135500,50000,0,0
S.Pushbaraj,Tamil Nadu Ilangyar Katchi,0,Post Graduate,29,,,CUDDALORE,CUDDALORE,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2380,,,0,0
S.Sampath,IND,0,5th Pass,49,"Rs 4,48,900 ~ 4 Lacs+",Rs 0 ~,CUDDALORE,CUDDALORE,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2382,448900,0,0,0
S.V.Rajarajan,Desiya Makkal Sakthi Katchi,1,Others,46,"Rs 1,81,20,000 ~ 1 Crore+","Rs 88,00,000 ~ 88 Lacs+",CUDDALORE,CUDDALORE,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=974,18120000,8800000,0,0
V. Dakshnamoorthy,IND,0,10th Pass,44,,,CUDDALORE,CUDDALORE,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2383,,,0,0
M.R.K.Panneerselvam,DMK,12,Graduate Professional,63,"Rs 10,93,45,490 ~ 10 Crore+","Rs 74,64,058 ~ 74 Lacs+",KURINJIPADI,CUDDALORE,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=516,109345490,7464058,1,0
A.Vasanthakumar,Amma Makkal Munnettra Kazagam,1,Others,26,"Rs 7,29,800 ~ 7 Lacs+","Rs 2,75,127 ~ 2 Lacs+",KURINJIPADI,CUDDALORE,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2386,729800,275127,0,0
Brijita Roslene,IND,0,5th Pass,55,"Rs 2,00,000 ~ 2 Lacs+",Rs 0 ~,KURINJIPADI,CUDDALORE,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2388,200000,0,0,0
K.Chandramouli,JD(U),4,12th Pass,44,,,KURINJIPADI,CUDDALORE,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2385,,,0,0
L.Madhiyazhagan,IND,0,12th Pass,57,"Rs 2,50,000 ~ 2 Lacs+",Rs 0 ~,KURINJIPADI,CUDDALORE,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2389,250000,0,0,0
N.Muthazhagan,IND,0,12th Pass,50,,,KURINJIPADI,CUDDALORE,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2390,,,0,0
R.Muthukrishnan,Anna Dravidar Kazhagam,0,12th Pass,50,"Rs 95,74,668 ~ 95 Lacs+","Rs 2,20,000 ~ 2 Lacs+",KURINJIPADI,CUDDALORE,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=1402,9574668,220000,0,0
R.Rajesh,IND,0,10th Pass,35,"Rs 23,000 ~ 23 Thou+",Rs 0 ~,KURINJIPADI,CUDDALORE,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2391,23000,0,0,0
R.Sarathkumar,IND,0,10th Pass,29,,,KURINJIPADI,CUDDALORE,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2387,,,0,0
S.Sumathi,Naam Tamilar Katchi,0,Post Graduate,47,"Rs 67,57,126 ~ 67 Lacs+","Rs 5,00,000 ~ 5 Lacs+",KURINJIPADI,CUDDALORE,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=1400,6757126,500000,0,0
Selvi Ramajayam,AIADMK,0,10th Pass,55,"Rs 1,71,98,361 ~ 1 Crore+","Rs 87,01,646 ~ 87 Lacs+",KURINJIPADI,CUDDALORE,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=1401,17198361,8701646,0,0
T.Velayudham,BSP,0,8th Pass,46,,,KURINJIPADI,CUDDALORE,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=515,,,0,0
Arunmozhithevan. A,AIADMK,0,Graduate Professional,52,"Rs 3,94,66,325 ~ 3 Crore+","Rs 1,20,22,834 ~ 1 Crore+",BHUVANAGIRI,CUDDALORE,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=271,39466325,12022834,1,0
Anandan. S (A) Kavignar Sella Aananthamaalai,IND,0,12th Pass,43,"Rs 1,143 ~ 1 Thou+",Rs 0 ~,BHUVANAGIRI,CUDDALORE,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=374,1143,0,0,0
Balamurugan. G.C,IND,0,10th Pass,39,,,BHUVANAGIRI,CUDDALORE,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2397,,,0,0
Balamurugan. K.S.K,Amma Makkal Munnettra Kazagam,2,Others,39,"Rs 10,02,41,240 ~ 10 Crore+","Rs 1,09,81,716 ~ 1 Crore+",BHUVANAGIRI,CUDDALORE,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=375,100241240,10981716,0,0
Ezhilvendan. P.,IND,0,12th Pass,54,"Rs 22,52,365 ~ 22 Lacs+",Rs 0 ~,BHUVANAGIRI,CUDDALORE,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2393,2252365,0,0,0
Ezhilvendhan. R,BSP,0,Post Graduate,31,,,BHUVANAGIRI,CUDDALORE,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=376,,,0,0
Jeyakumar. K,IND,0,12th Pass,46,"Rs 2,21,900 ~ 2 Lacs+",Rs 0 ~,BHUVANAGIRI,CUDDALORE,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2399,221900,0,0,0
Pazhanivel. M,IND,0,Not Given,55,"Rs 2,20,000 ~ 2 Lacs+",Rs 0 ~,BHUVANAGIRI,CUDDALORE,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2396,220000,0,0,0
Ranjith. R,IND,0,12th Pass,27,,,BHUVANAGIRI,CUDDALORE,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2398,,,0,0
Rathinavel. R.,Naam Tamilar Katchi,0,10th Pass,45,"Rs 38,40,000 ~ 38 Lacs+",Rs 0 ~,BHUVANAGIRI,CUDDALORE,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=73,3840000,0,0,0
Revathi. R.,Indiya Jananayaka Katchi,0,5th Pass,49,"Rs 95,15,500 ~ 95 Lacs+","Rs 6,00,000 ~ 6 Lacs+",BHUVANAGIRI,CUDDALORE,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2392,9515500,600000,0,0
Saravanan. Durai.K,DMK,4,Post Graduate,54,,,BHUVANAGIRI,CUDDALORE,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=1846,,,0,0
Saravanan. J.,IND,0,12th Pass,57,"Rs 30,81,245 ~ 30 Lacs+",Rs 0 ~,BHUVANAGIRI,CUDDALORE,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2394,3081245,0,0,0
Sivakumari. T,IND,0,8th Pass,43,"Rs 4,59,000 ~ 4 Lacs+","Rs 15,15,000 ~ 15 Lacs+",BHUVANAGIRI,CUDDALORE,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2395,459000,1515000,0,0
K.A. Pandian,AIADMK,0,Post Graduate,60,,,CHIDAMBARAM,CUDDALORE,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=80,,,1,0
B. Narayanamoorthy,IND,0,8th Pass,50,"Rs 70,62,140 ~ 70 Lacs+","Rs 1,70,000 ~ 1 Lacs+",CHIDAMBARAM,CUDDALORE,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=932,7062140,170000,0,0
C. Vinoba,IND,0,10th Pass,49,"Rs 1,01,000 ~ 1 Lacs+",Rs 0 ~,CHIDAMBARAM,CUDDALORE,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2402,101000,0,0,0
D. Chandra Prabu,BSP,0,12th Pass,35,,,CHIDAMBARAM,CUDDALORE,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=931,,,0,0
G. Devasagayam,Makkal Needhi Maiam,0,Literate,50,"Rs 38,86,700 ~ 38 Lacs+","Rs 4,54,000 ~ 4 Lacs+",CHIDAMBARAM,CUDDALORE,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2400,3886700,454000,0,0
K. Udaya Selvan,Anaithu Makkal Puratchi Katchi,0,Graduate Professional,32,"Rs 1,75,062 ~ 1 Lacs+",Rs 0 ~,CHIDAMBARAM,CUDDALORE,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=936,175062,0,0,0
M. Nanthinidevi,Amma Makkal Munnettra Kazagam,0,Graduate Professional,39,"Rs 1,22,58,821 ~ 1 Crore+","Rs 58,64,895 ~ 58 Lacs+",CHIDAMBARAM,CUDDALORE,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=379,12258821,5864895,0,0
M. Raghunathan,Ilantamilar Munnani Kazhagam,0,Post Graduate,52,"Rs 25,76,000 ~ 25 Lacs+","Rs 5,65,000 ~ 5 Lacs+",CHIDAMBARAM,CUDDALORE,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2401,2576000,565000,0,0
Natarajan Krishnamoorthy,Naam Tamilar Katchi,0,12th Pass,43,,,CHIDAMBARAM,CUDDALORE,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=79,,,0,0
S. Abdul Rahman,IUML,0,10th Pass,42,"Rs 85,08,919 ~ 85 Lacs+",Rs 0 ~,CHIDAMBARAM,CUDDALORE,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=933,8508919,0,0,0
S. Balamurugan,IND,0,Others,39,"Rs 9,38,500 ~ 9 Lacs+","Rs 7,69,284 ~ 7 Lacs+",CHIDAMBARAM,CUDDALORE,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=7,938500,769284,0,0
Sinthanai Selvan,Viduthalai Chiruthaigal Katchi,1,Others,55,"Rs 95,62,905 ~ 95 Lacs+",Rs 0 ~,KATTUMANNARKOIL (SC),CUDDALORE,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=1251,9562905,0,1,0
A. Anandan,IND,0,10th Pass,43,"Rs 4,85,500 ~ 4 Lacs+",Rs 0 ~,KATTUMANNARKOIL (SC),CUDDALORE,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=1249,485500,0,0,0
M. Thirunavukarasu,Anna Puratchi Thalaivar Amma Dravida Munnetra Kazhagam,0,Graduate,46,"Rs 14,05,000 ~ 14 Lacs+",Rs 0 ~,KATTUMANNARKOIL (SC),CUDDALORE,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=1250,1405000,0,0,0
M.A.T. Archunan,IND,0,Post Graduate,63,,,KATTUMANNARKOIL (SC),CUDDALORE,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=1254,,,0,0
M.G. Kalyanasundaram,All India Jananayaka Makkal Kazhagam,0,Post Graduate,49,"Rs 1,38,000 ~ 1 Lacs+",Rs 0 ~,KATTUMANNARKOIL (SC),CUDDALORE,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2403,138000,0,0,0
Mathiazhagan,IND,0,8th Pass,45,"Rs 55,000 ~ 55 Thou+",Rs 0 ~,KATTUMANNARKOIL (SC),CUDDALORE,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2406,55000,0,0,0
N. Murugumaran,AIADMK,0,Graduate Professional,50,,,KATTUMANNARKOIL (SC),CUDDALORE,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=490,,,0,0
P. Nivedha,Naam Tamilar Katchi,0,Post Graduate,29,"Rs 11,39,000 ~ 11 Lacs+",Rs 0 ~,KATTUMANNARKOIL (SC),CUDDALORE,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=489,1139000,0,0,0
P.M. Kumar,IND,0,Post Graduate,45,"Rs 65,000 ~ 65 Thou+",Rs 0 ~,KATTUMANNARKOIL (SC),CUDDALORE,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2404,65000,0,0,0
S. Narayanamoorthy,Amma Makkal Munnettra Kazagam,2,5th Pass,53,,,KATTUMANNARKOIL (SC),CUDDALORE,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=1252,,,0,0
S.Tamilselvan,IND,0,12th Pass,37,"Rs 1,40,000 ~ 1 Lacs+",Rs 0 ~,KATTUMANNARKOIL (SC),CUDDALORE,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2405,140000,0,0,0
Thanga Udhayakumar,BSP,0,10th Pass,46,,,KATTUMANNARKOIL (SC),CUDDALORE,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=1856,,,0,0
Thanga Vikram,Makkal Needhi Maiam,0,Post Graduate,34,"Rs 18,00,000 ~ 18 Lacs+","Rs 3,00,000 ~ 3 Lacs+",KATTUMANNARKOIL (SC),CUDDALORE,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=1253,1800000,300000,0,0
Anbalagan.K.P.,AIADMK,0,12th Pass,62,"Rs 18,83,04,297 ~ 18 Crore+","Rs 15,51,58,783 ~ 15 Crore+",PALACODE,DHARMAPURI,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=214,188304297,155158783,1,0
Anbarasu.D.,IND,0,Graduate Professional,28,"Rs 10,20,000 ~ 10 Lacs+",Rs 0 ~,PALACODE,DHARMAPURI,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2518,1020000,0,0,0
Hari.R.,BSP,0,10th Pass,44,,,PALACODE,DHARMAPURI,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=1931,,,0,0
Kalaiselvi.G.,Naam Tamilar Katchi,1,Graduate,25,"Rs 2,54,000 ~ 2 Lacs+",Rs 0 ~,PALACODE,DHARMAPURI,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2516,254000,0,0,0
Murugan.K.,IND,0,10th Pass,48,"Rs 42,42,000 ~ 42 Lacs+",Rs 0 ~,PALACODE,DHARMAPURI,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2520,4242000,0,0,0
Murugan.K.G.,IND,0,Graduate,43,,,PALACODE,DHARMAPURI,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2521,,,0,0
Murugan.P.K.,DMK,0,Graduate Professional,53,"Rs 95,67,490 ~ 95 Lacs+","Rs 32,48,151 ~ 32 Lacs+",PALACODE,DHARMAPURI,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=1933,9567490,3248151,0,0
Rajasekar.D.,Makkal Needhi Maiam,1,Post Graduate,46,"Rs 1,87,33,000 ~ 1 Crore+","Rs 38,94,587 ~ 38 Lacs+",PALACODE,DHARMAPURI,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2517,18733000,3894587,0,0
Rajkumar.T.,IND,0,8th Pass,33,,,PALACODE,DHARMAPURI,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2522,,,0,0
Sharavanan.M.P.,IND,0,Post Graduate,50,"Rs 1,28,21,139 ~ 1 Crore+","Rs 42,45,000 ~ 42 Lacs+",PALACODE,DHARMAPURI,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2519,12821139,4245000,0,0
Vadivel.M.,IND,0,5th Pass,37,"Rs 4,42,000 ~ 4 Lacs+",Rs 0 ~,PALACODE,DHARMAPURI,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2523,442000,0,0,0
Vijayasankar.P.,DMDK,0,12th Pass,44,,,PALACODE,DHARMAPURI,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=1932,,,0,0
Mani. G.K,Pattali Makkal Katchi,8,12th Pass,69,"Rs 73,23,252 ~ 73 Lacs+",Rs 0 ~,PENNAGARAM,DHARMAPURI,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=202,7323252,0,1,0
Annadurai. C,Desiya Makkal Sakthi Katchi,0,8th Pass,33,"Rs 30,000 ~ 30 Thou+",Rs 0 ~,PENNAGARAM,DHARMAPURI,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2524,30000,0,0,0
Annadurai. V,IND,0,12th Pass,38,"Rs 11,26,000 ~ 11 Lacs+",Rs 0 ~,PENNAGARAM,DHARMAPURI,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2527,1126000,0,0,0
Dharuman. K,IND,0,Graduate,31,,,PENNAGARAM,DHARMAPURI,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2529,,,0,0
Inbasekaran. P.N.P,DMK,19,Post Graduate,37,"Rs 7,19,00,710 ~ 7 Crore+","Rs 1,21,25,326 ~ 1 Crore+",PENNAGARAM,DHARMAPURI,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=577,71900710,12125326,0,0
Mani. K.G.,IND,0,Illiterate,40,,,PENNAGARAM,DHARMAPURI,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2532,,,0,0
Mani. P,IND,0,Illiterate,51,"Rs 8,12,300 ~ 8 Lacs+",Rs 0 ~,PENNAGARAM,DHARMAPURI,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2533,812300,0,0,0
